Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Bagnieski, Connor",1000024833,Left,OGD_RAP,Undefined,2,Bottom,1,1,0,Changeup,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,82.10247,-1.464204,-1.300773,1555.401673,239.127626,2:00,6.01884,0.70787,5.86985,-34.60663,5.98626,8.33347,1.77429,0.1939,77.0603,-7.797171,0.196584,0.45856,99.40344,29.44699,20.3666,2420.910375,102.05052,55.68908,41.05712,428.76829,418.4264,26.622106,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Ultsch, Nick",1000252101,Left,OGD_RAP,Undefined,2,Bottom,2,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,4,,87.57932,-0.894487,-1.661676,1835.577223,228.046541,1:30,5.89407,0.69044,5.89221,-29.29226,6.76957,6.39099,2.62215,-0.3202,81.00548,-6.30467,-0.514045,0.432211,103.07511,29.824434,18.755874,2871.332459,103.94222,58.76854,35.99867,439.46102,420.26079,20.660162,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Sargent, Christopher",1000098906,Right,OGD_RAP,Undefined,2,Bottom,2,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.92243,-3.645794,-3.528969,1787.232882,229.163813,1:45,5.99802,0.54468,6.0497,-29.09344,6.77733,6.61937,0.18766,-2.17463,81.48534,-8.991541,-2.338312,0.431064,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Bagnieski, Connor",1000024833,Left,OGD_RAP,Undefined,2,Bottom,1,0,0,Changeup,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.90074,-3.819913,-1.591644,1453.012935,241.781497,2:00,5.99831,0.56412,5.65428,-34.70687,6.85398,10.66918,-0.46307,-0.03154,76.704,-10.111159,0.319928,0.463995,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Jordan, Cole",1000029285,Right,OGD_RAP,Undefined,3,Bottom,0,1,2,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.72909,-0.740081,-2.623312,1894.977001,188.511698,12:15,5.93545,0.62283,6.63711,-27.47651,7.17674,0.9426,2.96748,-1.70182,81.86543,-5.870283,-2.451929,0.423685,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Sargent, Christopher",1000098906,Right,OGD_RAP,Undefined,2,Bottom,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.00262,-2.625499,-2.060444,2110.947812,155.726467,11:15,5.79307,0.87635,5.89125,-29.19946,7.96843,-3.16189,0.9188,-1.30103,80.50214,-7.972153,-2.628142,0.438789,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Sargent, Christopher",1000098906,Right,OGD_RAP,Undefined,2,Bottom,2,3,0,Fastball,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,86.88495,-1.349574,-2.06726,1860.792134,228.005897,1:30,5.88683,0.68503,6.04905,-27.99879,8.3391,8.14871,2.30323,-0.55044,80.62252,-6.534198,-0.600018,0.433862,87.87152,-18.850465,-17.901294,,,,,8.6388,8.6388,-10.594259,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Gil, Raymond",1000025717,Right,OGD_RAP,Undefined,2,Bottom,2,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.86409,-2.159689,-3.371736,1747.866252,204.378574,12:45,5.90564,0.54497,6.1977,-26.0708,9.30158,3.78016,1.73502,-2.25614,81.73414,-6.990583,-2.690572,0.428059,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Gil, Raymond",1000025717,Right,OGD_RAP,Undefined,2,Bottom,2,3,0,Fastball,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,86.88822,-0.512786,-2.244084,1947.573969,189.777414,12:15,5.9238,0.54198,6.22703,-26.43781,9.31465,1.45445,3.24717,-1.40829,81.26308,-5.419496,-1.981602,0.430352,,,,,,,,,,,,,,,,,,,
"Dudzinski, Robbie",1000132182,Right,BOI_HAW,"Gil, Raymond",1000025717,Right,OGD_RAP,Undefined,2,Bottom,2,1,0,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.9178,0.111458,-0.433163,1804.169908,200.825911,12:45,5.92187,0.64875,5.81684,-26.87344,9.71627,3.31382,3.78605,0.52215,80.44325,-4.86834,0.160971,0.435362,,,,,,,,,,,,,,,,,,,
